"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"T459_00172" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00173" 20 19 23 7 5 0 0 0 0 0 0 0
"T459_00174" 263 377 462 388 292 340 430 564 483 607 812 768
"T459_00175" 43 37 42 16 10 21 9 0 0 2 2 2
"T459_00176" 20 22 31 20 24 38 40 46 37 44 53 68
"T459_00177" 1 0 0 0 1 1 0 0 0 0 1 0
"T459_00178" 0 1 1 1 1 0 1 1 0 1 0 0
"T459_00179" 4 3 0 1 3 5 2 3 2 0 1 0
"T459_00180" 3 0 2 1 0 0 4 2 2 2 0 0
"T459_00181" 0 1 3 0 0 0 0 0 1 1 0 1
"T459_00182" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00183" 1 2 4 4 2 14 19 9 2 9 10 5
"T459_00184" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00185" 70 77 88 91 92 86 109 128 116 126 126 99
"T459_00186" 0 0 1 0 1 1 4 1 3 6 12 1
"T459_00187" 14 12 20 13 9 36 31 59 24 12 6 0
"T459_00188" 7 9 0 27 9 26 30 18 7 4 2 2
"T459_00189" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00190" 15 10 42 18 12 16 38 24 34 13 1 1
"T459_00191" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00192" 1056 845 526 510 480 664 563 628 437 625 723 988
"T459_00193" 0 2 2 2 2 8 15 15 14 22 12 18
"T459_00194" 23 33 25 34 32 42 48 72 55 63 48 73
"T459_00195" 448 558 480 624 467 500 779 767 699 713 1073 832
"T459_00196" 16 19 10 19 21 45 16 21 22 11 9 3
"T459_00197" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00198" 4 4 1 13 21 11 0 2 0 0 0 0
"T459_00199" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00200" 0 0 0 1 0 2 4 2 2 6 0 4
