"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "color"
"Solyc00g019970.2" 3.02475456471204 0.229857441415059 0.973891585881199 0.225565844772047 0.821539108132737 0.879824992299931 "black"
"Solyc00g019950.1" 1.20093476615793 0.51161103654562 1.35088091865731 0.36840295650895 0.712572793274001 0.791537319243728 "black"
"Solyc00g500245.1" 1.54555192942314 0.247360951425645 1.33874598935008 0.178966849058489 0.857963732019199 0.904794656994627 "black"
"Solyc00g021640.2" 9.94576264130359 0.896862862314264 0.666394146204782 1.33958231162369 0.180381177648517 0.266496126891312 "black"
"Solyc00g021630.1" 27.4227090569671 -0.38623979221646 0.583876445534133 -0.66220799218777 0.507837932875156 0.610638772055832 "black"
"Solyc00g181250.2" 1.86497715090343 1.75130190864962 1.19210593989452 1.37738307807174 0.168393841863573 0.251798480148909 "black"
"Solyc00g500356.1" 2.6002836773077 2.26571166294104 1.26398398420572 1.79982062695197 0.0718889658596204 0.123815485729823 "black"
"Solyc01g005000.3" 254.81157301576 3.66580010871765 0.352603777265174 10.3467479012933 4.32942774778208e-25 9.93829108642607e-24 "red"
"Solyc01g005010.4" 31.5312021755958 0.917263984824078 0.464374867839869 1.97808578635477 0.0479190297572328 0.0874781539757338 "black"
"Solyc01g005020.3" 505.290485505272 0.544429733483838 0.198007570982693 2.74986809631057 0.00596192585413442 0.0140201351478607 "black"
"Solyc01g005030.4" 424.970734711436 -1.86267242825857 0.152223741901793 -12.2351848738201 2.01645206257103e-34 6.82099848690487e-33 "blue"
"Solyc01g005060.3" 97.1692895328963 0.391758917628211 0.41561627955478 0.944104091939091 0.345116458507791 0.451240099690727 "black"
"Solyc01g005070.3" 2.53302558578957 0 1.38894490352723 0 1 1 "black"
"Solyc01g005080.3" 214.766858837789 1.26171799144271 0.21935770532595 5.75221259346209 8.8082933508715e-09 5.74304088420849e-08 "red"
"Solyc01g005100.4" 66.0349560336631 0.784408681030513 0.266577082834891 2.94230036189818 0.00325783768684203 0.00818913730748925 "black"
"Solyc01g005110.3" 115.93321938885 -1.38902506773646 0.257510053277653 -5.39312181834925 6.92439737966472e-08 3.98657376764429e-07 "blue"
"Solyc01g005120.3" 92.8971213390368 0.865255816713346 0.227917937970921 3.79461756764778 0.000147871201755365 0.000499375908531008 "black"
"Solyc01g005130.2" 242.831939604991 0.0442994004491324 0.264816502635679 0.16693399699317 0.867421982731326 0.911206478631211 "black"
"Solyc01g005140.3" 14.7151824661976 -2.82279127954628 0.591938693456973 -4.71954713856329 2.36370268928887e-06 1.08737750062237e-05 "blue"
"Solyc01g005150.3" 1.44102710938533 -0.0386346401513925 1.25402937796182 -0.0160148796230585 0.987222520994884 0.998103416186037 "black"
"Solyc01g005160.4" 23.1399281307138 5.79152880092676 1.10513937571791 5.1973620435203 2.02136446971109e-07 1.09503039811331e-06 "red"
"Solyc01g005210.4" 418.945082228597 -2.08060172492328 0.212430037634612 -9.79298436969571 1.20680280083814e-22 2.43966968583639e-21 "blue"
"Solyc01g005220.3" 153.679985138411 1.50990926759009 0.492408640624909 3.06437311745573 0.00218126678676349 0.00570620059492914 "red"
"Solyc01g005230.4" 1.87854828167682 2.91179192432349 1.277028994542 2.23569618015955 0.025371679428105 0.0505731288017041 "black"
"Solyc01g005240.4" 288.77915312037 0.20173353749147 0.18823990661462 1.07217750316612 0.283640312980535 0.385387603618213 "black"
"Solyc01g005250.4" 264.95888274108 1.02006903683561 0.20932974248574 4.87404434583768 1.09336429550008e-06 5.28605535223022e-06 "red"
"Solyc01g005253.1" 22.9611574181011 0.794365444965504 0.518560061477083 1.53481610806415 0.124829004923237 0.196533776645271 "black"
"Solyc01g005257.1" 36.8874791599445 -2.24041490513581 0.423171283751931 -5.28350798896363 1.26733334542463e-07 7.04612591479781e-07 "blue"
"Solyc01g005280.3" 58.2381248317755 -1.80779813637756 0.423622656395805 -4.26436909042008 2.0046783439035e-05 7.89204942801574e-05 "blue"
"Solyc01g005290.4" 41.8045383232669 -4.32285919502054 0.610952733693674 -6.99284494075419 2.69367176075786e-12 2.56953360403416e-11 "blue"
"Solyc01g005300.4" 354.891977376839 -2.07425826046075 0.206316901893514 -10.0519697059218 9.0049246825483e-24 1.92283282362039e-22 "blue"
