Orthogroup	Duplications (all)	Duplications (50% support)
OG0000462	9	9
OG0000463	9	9
OG0000464	10	10
OG0000465	9	9
OG0000466	7	7
OG0000467	9	9
OG0000468	9	9
OG0000469	9	9
OG0000470	9	9
OG0000471	10	10
OG0000472	10	10
OG0000473	8	8
OG0000474	10	10
OG0000475	5	5
OG0000476	10	10
OG0000477	8	8
OG0000478	6	6
OG0000479	7	7
OG0000480	7	7
OG0000481	6	6
OG0000482	8	8
OG0000483	9	9
OG0000484	9	9
OG0000485	6	6
OG0000486	7	7
OG0000487	7	7
OG0000488	7	7
OG0000489	8	8
OG0000490	10	10
OG0000491	9	9
OG0000492	7	7
OG0000493	6	6
OG0000494	10	10
OG0000495	5	5
OG0000496	10	10
OG0000497	8	8
OG0000498	9	9
OG0000499	9	9
OG0000500	8	8
OG0000501	7	7
OG0000502	8	8
OG0000503	8	8
OG0000504	8	8
OG0000505	8	8
OG0000506	8	8
OG0000507	8	8
OG0000508	9	9
OG0000509	9	9
OG0000510	9	9
OG0000511	9	9
OG0000512	9	9
OG0000513	9	9
OG0000514	9	9
OG0000515	9	9
OG0000516	10	10
OG0000517	10	10
OG0000518	10	10
OG0000519	10	10
OG0000520	10	10
OG0000521	10	10
OG0000522	10	10
OG0000523	10	10
OG0000524	10	10
OG0000525	10	10
OG0000526	8	8
OG0000527	7	7
OG0000528	9	9
OG0000529	9	9
OG0000530	8	8
OG0000531	7	7
OG0000532	6	6
OG0000533	8	8
OG0000534	8	8
OG0000535	9	9
OG0000536	9	9
OG0000537	8	8
OG0000538	8	8
OG0000539	9	9
OG0000540	9	9
OG0000541	5	5
OG0000542	8	8
OG0000543	5	5
OG0000544	6	6
OG0000545	7	7
OG0000546	6	6
OG0000547	4	4
OG0000548	6	6
OG0000549	4	4
OG0000550	7	7
OG0000551	6	6
OG0000552	7	7
OG0000553	6	6
OG0000554	6	6
OG0000555	6	6
OG0000556	8	8
OG0000557	7	7
OG0000558	7	7
OG0000559	9	9
OG0000560	9	9
OG0000561	8	8
OG0000562	8	8
OG0000563	8	8
OG0000564	8	8
OG0000565	6	6
OG0000566	8	8
OG0000567	8	8
OG0000568	7	7
OG0000569	8	8
OG0000570	5	5
OG0000571	8	8
OG0000572	8	8
OG0000573	6	6
OG0000574	5	5
OG0000575	7	7
OG0000576	6	6
OG0000577	8	8
OG0000578	8	8
OG0000579	8	8
OG0000580	6	6
OG0000581	8	8
OG0000582	8	8
OG0000583	5	5
OG0000584	6	6
OG0000585	9	9
OG0000586	6	6
OG0000587	8	8
OG0000588	6	6
OG0000589	7	7
OG0000590	6	6
OG0000591	8	8
OG0000592	5	5
OG0000593	8	8
OG0000594	8	8
OG0000595	7	7
OG0000596	8	8
OG0000597	9	9
OG0000598	9	9
OG0000599	9	9
OG0000600	9	9
OG0000601	9	9
OG0000602	9	9
OG0000603	9	9
OG0000604	9	9
OG0000605	9	9
OG0000606	9	9
OG0000607	9	9
OG0000608	9	9
OG0000609	9	9
OG0000610	9	9
OG0000611	9	9
OG0000612	7	7
OG0000613	6	6
OG0000614	8	8
OG0000615	6	6
OG0000616	7	7
OG0000617	8	8
OG0000618	6	6
OG0000619	8	8
OG0000620	8	8
OG0000621	7	7
OG0000622	6	6
OG0000623	8	8
OG0000624	8	8
OG0000625	6	6
OG0000626	6	6
OG0000627	7	7
OG0000628	6	6
OG0000629	8	8
OG0000630	6	6
OG0000631	7	7
OG0000632	5	5
OG0000633	7	7
OG0000634	5	5
OG0000635	7	7
OG0000636	4	4
OG0000637	7	7
OG0000638	7	7
OG0000639	8	8
OG0000640	7	7
OG0000641	6	6
OG0000642	6	6
OG0000643	7	7
OG0000644	8	8
OG0000645	6	6
OG0000646	4	4
OG0000647	7	7
OG0000648	7	7
OG0000649	7	7
OG0000650	6	6
OG0000651	5	5
OG0000652	7	7
OG0000653	6	6
OG0000654	5	5
OG0000655	6	6
OG0000656	4	4
OG0000657	7	7
OG0000658	6	6
OG0000659	6	6
OG0000660	5	5
OG0000661	5	5
OG0000662	7	7
OG0000663	4	4
OG0000664	5	5
OG0000665	5	5
OG0000666	7	7
OG0000667	7	7
OG0000668	7	7
OG0000669	7	7
OG0000670	5	5
OG0000671	6	6
OG0000672	4	4
OG0000673	7	7
OG0000674	6	6
OG0000675	5	5
OG0000676	7	7
OG0000677	8	8
OG0000678	7	7
OG0000679	8	8
OG0000680	5	5
OG0000681	8	8
OG0000682	5	5
OG0000683	8	8
OG0000684	6	6
OG0000685	7	7
OG0000686	8	8
OG0000687	6	6
OG0000688	4	4
OG0000689	8	8
OG0000690	5	5
OG0000691	7	7
OG0000692	6	6
OG0000693	4	4
OG0000694	6	6
OG0000695	7	7
OG0000696	6	6
OG0000697	8	8
OG0000698	6	6
OG0000699	8	8
OG0000700	7	7
OG0000701	7	7
OG0000702	7	7
OG0000703	7	7
OG0000704	5	5
OG0000705	6	6
OG0000706	6	6
OG0000707	5	5
OG0000708	7	7
OG0000709	5	5
OG0000710	7	7
OG0000711	7	7
OG0000712	6	6
OG0000713	6	6
OG0000714	7	7
OG0000715	7	7
OG0000716	5	5
OG0000717	7	7
OG0000718	7	7
OG0000719	7	7
OG0000720	8	8
OG0000721	7	7
OG0000722	7	7
OG0000723	7	7
OG0000724	7	7
OG0000725	7	7
OG0000726	7	7
OG0000727	7	7
OG0000728	8	8
OG0000729	7	7
OG0000730	7	7
OG0000731	6	6
OG0000732	6	6
OG0000733	7	7
OG0000734	6	6
OG0000735	7	7
OG0000736	6	6
OG0000737	7	7
OG0000738	6	6
OG0000739	7	7
OG0000740	5	5
OG0000741	7	7
OG0000742	8	8
OG0000743	8	8
OG0000744	8	8
OG0000745	8	8
OG0000746	8	8
OG0000747	8	8
OG0000748	8	8
OG0000749	8	8
OG0000750	6	6
OG0000751	6	6
OG0000752	5	5
OG0000753	7	7
OG0000754	7	7
OG0000755	6	6
OG0000756	6	6
OG0000757	6	6
OG0000758	6	6
OG0000759	5	5
OG0000760	6	6
OG0000761	6	6
OG0000762	5	5
OG0000763	6	6
OG0000764	6	6
OG0000765	5	5
OG0000766	7	7
OG0000767	7	7
OG0000768	7	7
OG0000769	7	7
OG0000770	6	6
OG0000771	5	5
OG0000772	6	6
OG0000773	5	5
OG0000774	4	4
OG0000775	6	6
OG0000776	6	6
OG0000777	6	6
OG0000778	6	6
OG0000779	7	7
OG0000780	7	7
OG0000781	5	5
OG0000782	5	5
OG0000783	5	5
OG0000784	6	6
OG0000785	6	6
OG0000786	7	7
OG0000787	6	6
OG0000788	7	7
OG0000789	7	7
OG0000790	4	4
OG0000791	6	6
OG0000792	6	6
OG0000793	5	5
OG0000794	4	4
OG0000795	5	5
OG0000796	6	6
OG0000797	6	6
OG0000798	5	5
OG0000799	3	3
OG0000800	6	6
OG0000801	4	4
OG0000802	4	4
OG0000803	6	6
OG0000804	7	7
OG0000805	4	4
OG0000806	7	7
OG0000807	4	4
OG0000808	6	6
OG0000809	4	4
OG0000810	7	7
OG0000811	5	5
OG0000812	4	4
OG0000813	5	5
OG0000814	6	6
OG0000815	6	6
OG0000816	3	3
OG0000817	4	4
OG0000818	4	4
OG0000819	4	4
OG0000820	5	5
OG0000821	6	6
OG0000822	6	6
OG0000823	3	3
OG0000824	5	5
OG0000825	5	5
OG0000826	6	6
OG0000827	5	5
OG0000828	3	3
OG0000829	6	6
OG0000830	5	5
OG0000831	6	6
OG0000832	6	6
OG0000833	7	7
OG0000834	5	5
OG0000835	7	7
OG0000836	4	4
OG0000837	5	5
OG0000838	4	4
OG0000839	6	6
OG0000840	6	6
OG0000841	5	5
OG0000842	7	7
OG0000843	6	6
OG0000844	7	7
OG0000845	6	6
OG0000846	4	4
OG0000847	5	5
OG0000848	6	6
OG0000849	7	7
OG0000850	6	6
OG0000851	6	6
OG0000852	4	4
OG0000853	5	5
OG0000854	5	5
OG0000855	4	4
OG0000856	4	4
OG0000857	4	4
OG0000858	3	3
OG0000859	5	5
OG0000860	4	4
OG0000861	4	4
OG0000862	6	6
OG0000863	6	6
OG0000864	4	4
OG0000865	6	6
OG0000866	7	7
OG0000867	5	5
OG0000868	4	4
OG0000869	4	4
OG0000870	6	6
OG0000871	6	6
OG0000872	4	4
OG0000873	4	4
OG0000874	6	6
OG0000875	5	5
OG0000876	6	6
OG0000877	4	4
OG0000878	6	6
OG0000879	6	6
OG0000880	6	6
OG0000881	7	7
OG0000882	7	7
OG0000883	6	6
OG0000884	6	6
OG0000885	5	5
OG0000886	7	7
OG0000887	6	6
OG0000888	6	6
OG0000889	6	6
OG0000890	6	6
OG0000891	6	6
OG0000892	5	5
OG0000893	6	6
OG0000894	7	7
OG0000895	4	4
OG0000896	6	6
OG0000897	4	4
OG0000898	5	5
OG0000899	5	5
OG0000900	5	5
OG0000901	5	5
OG0000902	6	6
OG0000903	3	3
OG0000904	6	6
OG0000905	4	4
OG0000906	5	5
OG0000907	6	6
OG0000908	5	5
OG0000909	5	5
OG0000910	4	4
OG0000911	4	4
OG0000912	6	6
OG0000913	4	4
OG0000914	4	4
OG0000915	6	6
OG0000916	6	6
OG0000917	6	6
OG0000918	5	5
OG0000919	6	6
OG0000920	6	6
OG0000921	5	5
OG0000922	6	6
OG0000923	6	6
OG0000924	6	6
OG0000925	5	5
OG0000926	5	5
OG0000927	6	6
OG0000928	6	6
OG0000929	4	4
OG0000930	4	4
OG0000931	6	6
OG0000932	6	6
OG0000933	6	6
OG0000934	6	6
OG0000935	6	6
OG0000936	6	6
OG0000937	6	6
OG0000938	6	6
OG0000939	7	7
OG0000940	7	7
OG0000941	7	7
OG0000942	7	7
OG0000943	7	7
OG0000944	7	7
OG0000945	7	7
OG0000946	7	7
OG0000947	7	7
OG0000948	7	7
OG0000949	7	7
OG0000950	7	7
OG0000951	7	7
OG0000952	7	7
OG0000953	7	7
OG0000954	7	7
OG0000955	7	7
OG0000956	7	7
OG0000957	7	7
OG0000958	7	7
OG0000959	7	7
OG0000960	7	7
OG0000961	7	7
OG0000962	7	7
OG0000963	7	7
OG0000964	7	7
OG0000965	5	5
OG0000966	5	5
OG0000967	5	5
OG0000968	5	5
OG0000969	5	5
OG0000970	5	5
OG0000971	5	5
OG0000972	5	5
OG0000973	5	5
OG0000974	5	5
OG0000975	5	5
OG0000976	6	6
OG0000977	3	3
OG0000978	4	4
OG0000979	5	5
OG0000980	3	3
OG0000981	5	5
OG0000982	5	5
OG0000983	5	5
OG0000984	6	6
OG0000985	4	4
OG0000986	5	5
OG0000987	3	3
OG0000988	3	3
OG0000989	3	3
OG0000990	3	3
OG0000991	4	4
OG0000992	3	3
OG0000993	5	5
OG0000994	6	6
OG0000995	4	4
OG0000996	4	4
OG0000997	6	6
OG0000998	5	5
OG0000999	5	5
OG0001000	4	4
OG0001001	5	5
OG0001002	6	6
OG0001003	4	4
OG0001004	4	4
OG0001005	3	3
OG0001006	5	5
OG0001007	6	6
OG0001008	5	5
OG0001009	6	6
OG0001010	4	4
OG0001011	3	3
OG0001012	6	6
OG0001013	3	3
OG0001014	3	3
OG0001015	6	6
OG0001016	5	5
OG0001017	4	4
OG0001018	5	5
OG0001019	4	4
OG0001020	5	5
OG0001021	4	4
OG0001022	5	5
OG0001023	3	3
OG0001024	4	4
OG0001025	4	4
OG0001026	5	5
OG0001027	6	6
OG0001028	3	3
OG0001029	4	4
OG0001030	4	4
OG0001031	4	4
OG0001032	3	3
OG0001033	5	5
OG0001034	5	5
OG0001035	4	4
OG0001036	5	5
OG0001037	4	4
OG0001038	5	5
OG0001039	4	4
OG0001040	6	6
OG0001041	5	5
OG0001042	3	3
OG0001043	6	6
OG0001044	4	4
OG0001045	5	5
OG0001046	5	5
OG0001047	5	5
OG0001048	5	5
OG0001049	4	4
OG0001050	5	5
OG0001051	5	5
OG0001052	6	6
OG0001053	6	6
OG0001054	4	4
OG0001055	4	4
OG0001056	4	4
OG0001057	4	4
OG0001058	5	5
OG0001059	4	4
OG0001060	4	4
OG0001061	3	3
OG0001062	4	4
OG0001063	6	6
OG0001064	5	5
OG0001065	5	5
OG0001066	5	5
OG0001067	5	5
OG0001068	5	5
OG0001069	5	5
OG0001070	5	5
OG0001071	5	5
OG0001072	4	4
OG0001073	3	3
OG0001074	6	6
OG0001075	4	4
OG0001076	5	5
OG0001077	5	5
OG0001078	5	5
OG0001079	5	5
OG0001080	6	6
OG0001081	3	3
OG0001082	5	5
OG0001083	5	5
OG0001084	5	5
OG0001085	5	5
OG0001086	5	5
OG0001087	4	4
OG0001088	3	3
OG0001089	5	5
OG0001090	6	6
OG0001091	3	3
OG0001092	4	4
OG0001093	5	5
OG0001094	6	6
OG0001095	6	6
OG0001096	4	4
OG0001097	3	3
OG0001098	6	6
OG0001099	3	3
OG0001100	4	4
OG0001101	5	5
OG0001102	5	5
OG0001103	6	6
OG0001104	3	3
OG0001105	4	4
OG0001106	3	3
OG0001107	3	3
OG0001108	3	3
OG0001109	3	3
OG0001110	5	5
OG0001111	5	5
OG0001112	3	3
OG0001113	5	5
OG0001114	4	4
OG0001115	5	5
OG0001116	4	4
OG0001117	5	5
OG0001118	3	3
OG0001119	5	5
OG0001120	4	4
OG0001121	5	5
OG0001122	3	3
OG0001123	3	3
OG0001124	3	3
OG0001125	4	4
OG0001126	4	4
OG0001127	5	5
OG0001128	5	5
OG0001129	5	5
OG0001130	4	4
OG0001131	5	5
OG0001132	4	4
OG0001133	3	3
OG0001134	5	5
OG0001135	5	5
OG0001136	5	5
OG0001137	5	5
OG0001138	4	4
OG0001139	4	4
OG0001140	5	5
OG0001141	4	4
OG0001142	4	4
OG0001143	4	4
OG0001144	4	4
OG0001145	5	5
OG0001146	4	4
OG0001147	4	4
OG0001148	5	5
OG0001149	4	4
OG0001150	3	3
OG0001151	3	3
OG0001152	5	5
OG0001153	5	5
OG0001154	6	6
OG0001155	5	5
OG0001156	5	5
OG0001157	6	6
OG0001158	4	4
OG0001159	3	3
OG0001160	3	3
OG0001161	4	4
OG0001162	4	4
OG0001163	5	5
OG0001164	5	5
OG0001165	4	4
OG0001166	3	3
OG0001167	5	5
OG0001168	5	5
OG0001169	5	5
OG0001170	4	4
OG0001171	4	4
OG0001172	5	5
OG0001173	3	3
OG0001174	3	3
OG0001175	5	5
OG0001176	4	4
OG0001177	5	5
OG0001178	5	5
OG0001179	4	4
OG0001180	4	4
OG0001181	3	3
OG0001182	5	5
OG0001183	5	5
OG0001184	5	5
OG0001185	4	4
OG0001186	4	4
OG0001187	4	4
OG0001188	6	6
OG0001189	4	4
OG0001190	5	5
OG0001191	4	4
OG0001192	5	5
OG0001193	4	4
OG0001194	5	5
OG0001195	5	5
OG0001196	4	4
OG0001197	5	5
OG0001198	4	4
OG0001199	3	3
OG0001200	5	5
OG0001201	3	3
OG0001202	5	5
OG0001203	3	3
OG0001204	6	6
OG0001205	6	6
OG0001206	5	5
OG0001207	4	4
OG0001208	5	5
OG0001209	5	5
OG0001210	5	5
OG0001211	5	5
OG0001212	4	4
OG0001213	5	5
OG0001214	5	5
OG0001215	5	5
OG0001216	3	3
OG0001217	4	4
OG0001218	5	5
OG0001219	5	5
OG0001220	4	4
OG0001221	5	5
OG0001222	5	5
OG0001223	4	4
OG0001224	4	4
OG0001225	5	5
OG0001226	4	4
OG0001227	5	5
OG0001228	5	5
OG0001229	3	3
OG0001230	5	5
OG0001231	5	5
OG0001232	5	5
OG0001233	5	5
OG0001234	5	5
OG0001235	5	5
OG0001236	4	4
OG0001237	4	4
OG0001238	5	5
OG0001239	4	4
OG0001240	4	4
OG0001241	5	5
OG0001242	5	5
OG0001243	5	5
OG0001244	5	5
OG0001245	6	6
OG0001246	6	6
OG0001247	6	6
