"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"Solyc00g320430.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500173.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g019750.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g019730.1" 1 4 2 1 3 2 0 0 0 3 3 0
"Solyc00g500174.1" 0 0 0 0 3 0 0 0 1 0 0 0
"Solyc00g500175.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500176.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500177.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500178.1" 0 0 0 0 0 0 0 0 0 0 1 0
"Solyc00g500179.1" 0 0 0 0 0 1 0 0 0 0 0 0
"Solyc00g500180.1" 2 2 1 0 0 0 0 4 0 0 0 0
"Solyc00g500181.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500182.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g118680.2" 0 0 0 1 0 1 0 1 1 0 0 0
"Solyc00g118690.1" 0 0 0 0 1 2 0 1 1 0 0 1
"Solyc00g023600.1" 1 3 0 2 0 0 1 0 5 0 0 0
"Solyc00g023590.2" 2 2 0 1 0 2 3 7 6 1 0 1
"Solyc00g023580.1" 0 0 0 0 0 0 0 1 0 0 2 0
"Solyc00g023570.1" 0 2 0 0 0 0 3 3 0 0 2 0
"Solyc00g014860.1" 0 1 0 0 0 0 0 3 1 0 0 0
"Solyc00g014850.1" 0 1 1 0 0 0 3 4 1 0 0 1
"Solyc00g500183.1" 20 50 35 25 14 29 19 37 28 16 12 12
"Solyc00g500184.1" 12 14 8 10 5 11 6 17 6 0 2 2
"Solyc00g500185.1" 6 5 2 3 2 3 1 8 3 7 2 3
"Solyc00g014810.1" 0 0 0 2 0 0 0 3 0 0 0 0
"Solyc00g014800.1" 3 9 4 12 22 6 1 15 12 15 3 3
"Solyc00g014790.2" 8 12 9 6 4 11 7 18 17 5 1 4
"Solyc00g094550.1" 1 0 1 0 2 0 0 2 2 2 2 1
"Solyc00g094540.1" 0 6 2 1 11 1 1 4 2 3 1 3
"Solyc00g094530.1" 0 4 3 3 4 3 4 8 0 5 0 4
"Solyc00g094520.1" 0 6 2 2 1 1 1 1 0 5 0 0
"Solyc00g023700.2" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g023710.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g049210.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g049220.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500186.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500187.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500188.1" 0 1 0 0 0 0 0 0 0 0 0 0
"Solyc00g500189.1" 1 0 0 0 0 0 0 0 0 1 0 0
"Solyc00g021660.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500190.1" 1 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500191.1" 0 0 0 0 0 0 0 1 0 0 0 0
"Solyc00g500192.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500193.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500194.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500195.1" 1 0 0 0 0 0 0 1 0 0 0 0
"Solyc00g500196.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500197.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500198.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500199.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500200.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500201.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500202.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500203.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500204.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500205.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500206.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500207.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500208.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500209.1" 0 0 1 0 0 0 0 0 0 0 0 0
"Solyc00g500210.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500211.1" 0 0 0 0 0 0 0 1 0 0 0 1
"Solyc00g500212.1" 0 0 0 0 0 1 0 0 0 0 0 0
"Solyc00g500213.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500214.1" 1 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g322630.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500215.1" 1 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500216.1" 1 0 0 0 0 3 0 0 0 0 0 0
"Solyc00g500217.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500218.1" 2 2 0 2 0 3 0 2 1 0 0 0
"Solyc00g266110.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g254910.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500219.1" 0 0 0 1 0 0 0 0 0 0 0 0
"Solyc00g500220.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500221.1" 0 0 0 0 0 0 1 0 0 0 1 0
"Solyc00g500222.1" 0 0 0 0 0 1 0 0 0 0 0 0
"Solyc00g198360.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500223.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g036520.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g052540.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g052530.2" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500224.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g047180.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g047190.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g047200.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500225.1" 0 0 0 0 0 0 0 0 2 0 0 0
"Solyc00g500226.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500227.1" 0 0 0 0 0 0 0 0 0 0 0 0
